method,topology,regime,duplication,schedule,seed,rmse,rmse_vs_oracle,nll,coverage95,prec_trace_ratio,prec_rel_error,confidence,confidence_oracle,consensus_spread
bp_trw,tree,duplicate,4,delayed,0,0.1391639276706226,0.23508710943782823,-1.8499017872709784,1.0,3.5564288053615587,2.6171825435746725,6.166638193953794,3.6736424324257597,2.6645352591003757e-15
ec_exact,tree,duplicate,4,repeating,0,0.36189657593976565,4.267246239336635e-16,1.0379245844971834,1.0,1.0,6.203580868531465e-16,3.6736424324257597,3.6736424324257597,2.6645352591003757e-15
naive_sum,tree,duplicate,4,repeating,0,0.38421844644261727,0.5713289664904478,131666121.73471731,0.0,80149858.43832606,82619814.40657115,39.55312814048219,3.6736424324257597,4.4513681121007735
mean_pool,tree,duplicate,4,repeating,0,1.0235201441790123,0.667684135804198,5.7098293064673475,1.0,0.21384409863675752,0.805426888872464,0.7171793269944093,3.6736424324257597,0.025463787926424897
cov_int,tree,duplicate,4,repeating,0,0.973293990580314,0.6237222237612188,5.266922652314976,1.0,0.23508795859983836,0.7914626910066284,0.9059662794667833,3.6736424324257597,1.5653472767773735e-05
inv_cov_int,tree,duplicate,4,repeating,0,0.9140340291271368,0.5787388706248545,5.245642065121617,0.921875,0.3001320601022048,0.7277284267102011,1.3193225715220387,3.6736424324257597,0.3626201843287402
bp_backtrack,tree,duplicate,4,repeating,0,0.17896364021297845,0.3899660936696578,80136.90227985092,0.0,210054.5527865521,221918.83997866587,27.41276281652047,3.6736424324257597,6.218030450122303
bp_cavity,tree,duplicate,4,repeating,0,0.1391639276706226,0.23508710943782823,-1.8499017872709784,1.0,3.5564288053615587,2.6171825435746725,6.166638193953794,3.6736424324257597,2.6645352591003757e-15
bp_trw,tree,duplicate,4,repeating,0,0.1391639276706226,0.23508710943782823,-1.8499017872709784,1.0,3.5564288053615587,2.6171825435746725,6.166638193953794,3.6736424324257597,2.6645352591003757e-15
ec_exact,tree,duplicate,4,adversarial,0,0.36189657593976554,4.3507904855107614e-16,1.0379245844971827,1.0,0.9999999999999998,6.103910987340144e-16,3.67364243242576,3.6736424324257597,2.220446049250313e-15
naive_sum,tree,duplicate,4,adversarial,0,0.16802588699943427,0.3809763433378992,78244.8650075942,0.0,198101.6481893606,202413.75594732288,26.82234275201609,3.6736424324257597,8.874298996410484
mean_pool,tree,duplicate,4,adversarial,0,1.0575506677193527,0.7038329440897693,5.716780009373599,0.953125,0.2206846895314477,0.7976813113362113,0.7769887899726786,3.6736424324257597,0.10765076691933428
cov_int,tree,duplicate,4,adversarial,0,0.9592368635678539,0.6068871150737218,5.242951184132855,1.0,0.2341451321127081,0.7914825124078987,0.9011886463407011,3.6736424324257597,0.001361326576896138
inv_cov_int,tree,duplicate,4,adversarial,0,1.0423663951004847,0.6924631887727811,5.441784319343435,0.8125,0.2997259107811767,0.7229189563191496,1.2877079480896572,3.6736424324257597,0.4113399208385522
bp_backtrack,tree,duplicate,4,adversarial,0,0.13554931415926852,0.38579602285905934,36795.164768132316,0.0,131407.16807968018,135883.8701224688,26.608818536290116,3.6736424324257597,5.661738638651553
bp_cavity,tree,duplicate,4,adversarial,0,0.13916392767062225,0.2350871094378288,-1.8499017872709798,1.0,3.5564288053615583,2.617182543574673,6.166638193953794,3.6736424324257597,2.6645352591003757e-15
bp_trw,tree,duplicate,4,adversarial,0,0.13916392767062225,0.2350871094378288,-1.8499017872709798,1.0,3.5564288053615583,2.617182543574673,6.166638193953794,3.6736424324257597,2.6645352591003757e-15
