seed,method,multiplier,arm,rmse,rmse_vs_oracle,nll,coverage95,prec_trace_ratio,prec_rel_error,confidence,confidence_oracle,consensus_spread
1,cov_int,8,replacement,0.856243969544898,0.8616888258959658,4.989798754221031,1.0,0.036299404148902356,0.9638133294153499,1.0472347678509708,7.683199006360631,2.4424906541753444e-15
1,inv_cov_int,8,duplicate,0.7321648229608617,0.5569505521762933,3.6534099635914825,1.0,0.3173395479855027,0.7122889072554266,1.7878645043751236,4.314616425060151,5.69121860749533e-09
1,inv_cov_int,8,replacement,0.7296930619078974,0.8176388116361096,4.088131662045458,1.0,0.056230458300218326,0.9439856695820974,1.800366933194814,7.683199006360631,3.6380660706214485e-09
1,bp_backtrack,8,duplicate,0.4342243785821492,0.300404104121233,2.9550012814701257e+19,0.0,1.100243947720534e+19,1.1226885889287832e+19,91.93879560625237,4.314616425060151,0.3201992787469976
1,bp_backtrack,8,replacement,0.14883331115607515,0.09616575494841173,3.633989194870875e+18,0.0,1.5044580340227558e+18,1.51343600484241e+18,91.37250365311812,7.683199006360631,0.3497445873690168
1,bp_cavity,8,duplicate,0.43187222860474783,0.29650423495037076,4363063526299242.0,0.0,1657832601494598.5,1690587917553672.5,74.34191926397283,4.314616425060151,0.2661938945852853
1,bp_cavity,8,replacement,0.14389856618448688,0.08186181371314309,493545177927336.4,0.0,226689688368721.2,227647347858794.0,73.77797443079568,7.683199006360631,0.29036234760474144
1,bp_trw,8,duplicate,0.4273578694527372,0.28901555095550147,285120.1432713714,0.0,112936.35001574947,115021.97762347583,27.530161474210193,4.314616425060151,0.08946556621901536
1,bp_trw,8,replacement,0.13559389123374818,0.041974382018306,26276.26573614784,0.0,15442.763902001436,15453.056832219485,26.970840246121025,7.683199006360631,0.09732803368599363
1,ec_exact,16,duplicate,0.36465613672836167,1.2443524979181321e-15,1.5582215672456152,1.0,1.0,7.266813110381123e-16,4.31461642506015,4.314616425060151,2.6645352591003757e-15
1,ec_exact,16,replacement,0.0776931027214946,1.4080802396869448e-15,-4.359998217960168,1.0,1.0,8.82977202550451e-16,9.118403459408945,9.118403459408945,3.552713678800501e-15
1,naive_sum,16,duplicate,0.42679973423295003,0.28809047695339407,1.0462059718997692e+22,0.0,4.1661092955012475e+21,4.2424007274689876e+21,103.82451785991215,4.314616425060151,2.1518836490486137e-07
1,naive_sum,16,replacement,0.07982102475414359,0.014924385137167186,3.258599035565012e+20,0.0,2.8801344274477338e+20,2.8806098172248146e+20,103.337178683374,9.118403459408945,1.6439358319075836e-07
1,mean_pool,16,duplicate,0.9734692053185823,0.8370225463027805,5.427940772401969,1.0,0.1798902711119411,0.8351279007961045,1.032943232324574,4.314616425060151,1.699932572485352e-08
1,mean_pool,16,replacement,0.9478343714048566,0.9466577404160141,5.5849629636358085,1.0,0.015547547404751644,0.9846149445357373,0.8037392380051704,9.118403459408945,4.103648709730123e-08
1,cov_int,16,duplicate,0.8399152520831621,0.7262949132428822,4.985353323538677,1.0,0.20299901344092752,0.8139504944018057,1.2538239072797057,4.314616425060151,2.220446049250313e-15
1,cov_int,16,replacement,0.8466826002087697,0.8606716027336065,4.984170731006879,1.0,0.019006435113625205,0.9810427346731039,1.1786395591617693,9.118403459408945,1.5543122344752192e-15
1,inv_cov_int,16,duplicate,0.8460222512889077,0.617036110427077,4.971000243066344,0.75,0.2944785350528861,0.7442987779733572,1.6670032054625956,4.314616425060151,4.49570425331558e-09
1,inv_cov_int,16,replacement,0.9902488417799868,0.9857400911707379,6.537809679196011,0.75,0.022724436737625434,0.9778214824201954,1.512194228861953,9.118403459408945,1.1293499468933987e-09
1,bp_backtrack,16,duplicate,0.42742427700472685,0.2893600790507967,5.541966086822237e+19,0.0,2.2004878954410676e+19,2.2418718924399804e+19,93.32851490137583,4.314616425060151,0.3489572279343065
1,bp_backtrack,16,replacement,0.10485905031888117,0.06833521178356503,3.0649991806598513e+18,0.0,1.5212517232050458e+18,1.5237159193829358e+18,92.84666141692318,9.118403459408945,0.05978407921649875
1,bp_cavity,16,duplicate,0.4272332378624206,0.28897139965071406,8343155673458573.0,0.0,3315665202989197.0,3377518659807362.5,75.73057236085494,4.314616425060151,0.2904485675189221
1,bp_cavity,16,replacement,0.09785756946990304,0.0569955124728143,399854576749409.25,0.0,229220138591460.3,229489579992404.16,75.24703193193977,9.118403459408945,0.04978491206738056
1,bp_trw,16,duplicate,0.42684834573072106,0.28818933185921025,567321.4864007519,0.0,225872.59469665776,230016.62580367862,28.916719175920516,4.314616425060151,0.09784480199806822
1,bp_trw,16,replacement,0.0820674550496913,0.020535191418950757,18732.00554631224,0.125,15615.134401897078,15618.5112420454,28.429810852818818,9.118403459408945,0.01679239197391169
1,ec_exact,32,duplicate,0.3646561367283617,1.7975901905141086e-15,1.5582215672456154,1.0,1.0000000000000002,6.732608172221642e-16,4.314616425060151,4.314616425060151,2.6645352591003757e-15
1,ec_exact,32,replacement,0.06751399274018642,1.8178563720900173e-15,-5.087047879311996,1.0,0.9999999999999998,1.029551334304524e-15,10.475455178175245,10.475455178175245,3.552713678800501e-15
1,naive_sum,32,duplicate,0.42679973423295037,0.2880904769533949,2.0924119437995376e+22,0.0,8.332218591002496e+21,8.484801454937976e+21,105.21081222103204,4.314616425060151,1.149682304912858e-07
